1,0.510543,3.23059,10.1559,10.1559,
1,0.550537,6.05133,3.67548,3.67548,
1,0.582709,6.71734,15.4793,15.4793,
1,0.561942,5.56334,4.9708,4.9708,
1,0.531042,5.22623,3.78909,3.78909,
1,0.611994,11.7313,23.5556,23.5556,
1,0.57169,5.14424,14.0835,14.0835,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
1,0.534372,5.39471,6.75353,6.75353,
1,0.516911,5.14706,5.06414,5.06414,
0,0,0,0,0,
0,0,0,0,0,
1,0.526978,3.89975,5.45357,5.45357,
1,0.620613,4.10331,13.1899,13.1899,
0,0,0,0,0,
0,0,0,0,0,
1,0.580227,6.48959,11.8341,11.8341,
0,0,0,0,0,
1,0.515796,6.72632,6.17119,6.17119,
0,0,0,0,0,
1,0.516234,3.67855,12.2247,12.2247,
1,0.5083,3.70696,12.3165,12.3165,
1,0.667098,9.16553,30.0766,30.0766,
1,0.730462,12.7424,18.2311,18.2311,
1,0.520466,5.73843,10.1287,10.1287,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
1,0.556946,6.31048,15.9754,15.9754,
0,0,0,0,0,
1,0.625093,7.32812,22.7744,22.7744,
1,0.562155,5.06108,16.6476,16.6476,
1,0.517893,4.35754,14.3402,14.3402,
1,0.75708,9.31289,29.9403,29.9403,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
1,0.50448,3.84946,12.7076,12.7076,
1,0.518021,5.00462,16.6163,16.6163,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
1,0.549712,4.35166,6.64493,6.64493,
1,0.618954,5.43974,18.093,18.093,
1,0.575294,10.3212,31.1863,31.1863,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
1,0.543023,6.14576,19.9043,19.9043,
1,0.516474,5.57656,7.66646,7.66646,
0,0,0,0,0,
0,0,0,0,0,
1,0.621314,4.72684,15.425,15.425,
0,0,0,0,0,
0,0,0,0,0,
1,0.541252,5.95871,15.9434,15.9434,
1,0.516806,5.69459,8.19014,8.19014,
1,0.514878,3.58207,11.7899,11.7899,
0,0,0,0,0,
0,0,0,0,0,
1,0.547998,4.84177,8.06942,8.06942,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
1,0.602724,10.391,33.1843,33.1843,
1,0.511574,3.49358,10.2745,10.2745,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
1,0.529081,3.37573,11.0005,11.0005,
1,0.55718,6.2449,10.3833,10.3833,
1,0.509021,3.15649,10.3952,10.3952,
1,0.624404,5.98733,12.4397,12.4397,
0,0,0,0,0,
1,0.531611,4.94456,4.71845,4.71845,
1,0.577966,6.1699,4.17141,4.17141,
1,0.561326,3.97213,12.5478,12.5478,
0,0,0,0,0,
1,0.529205,4.51538,8.23855,8.23855,
1,0.626379,7.01624,14.6905,14.6905,
1,0.586666,5.7061,12.4761,12.4761,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
0,0,0,0,0,
1,0.515952,5.02644,7.28951,7.28951,
1,0.536093,5.35127,17.1139,17.1139,
1,0.57765,6.52456,20.5976,20.5976,
0,0,0,0,0,
1,0.562417,7.23822,17.4457,17.4457,
1,0.736412,9.43625,22.0384,22.0384,
1,0.554792,8.79573,19.4228,19.4228,
0,0,0,0,0,
